Trasplantaments
Catalunya
Font: Departament de Salut. Servei Català de la Salut.
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15795
,Òrgans sòlids,Cor,Fetge,Pàncrees,Pulmó,Ronyó,Teixits,Progenitors hemopoètics,Còrnia,Teixit musculoesquelètic,Teixit vascular,Membrana amniòtica,Esclera,Total
2018,1151,71,182,21,104,773,7063,593,1456,4438,25,373,178,8214
2017,1106,60,160,17,89,780,7224,573,1310,4852,36,301,152,8330
2016,1017,55,167,14,73,708,5752,589,1313,3299,68,332,151,6769
2015,954,66,161,22,58,647,5026,533,1216,2844,50,264,119,5980
2014,908,56,162,19,67,604,4825,474,1135,2848,55,158,155,5733
2013,847,52,168,19,69,539,4668,508,1038,2642,110,251,119,5515
2012,873,52,180,15,66,560,4199,484,988,2216,106,260,145,5072
2011,892,54,187,23,49,579,4640,498,1004,2647,97,287,107,5532
2010,747,43,158,23,61,462,4790,428,1056,2828,50,334,94,5537
2009,844,45,202,25,51,524,4560,384,1009,2744,76,270,77,5404
2008,832,55,217,37,51,471,4205,377,981,2425,58,288,76,5037
2007,788,39,211,25,43,470,4004,430,1006,2178,53,280,57,4792
2006,707,39,205,28,27,408,3642,397,910,1976,105,199,55,4349
2005,830,56,227,24,34,489,3739,371,929,2006,102,320,11,4569
2004,737,51,202,15,31,438,3653,393,1005,1876,58,265,56,4390
2003,748,46,230,24,23,425,3557,365,926,2059,48,159,..,4305
2002,681,50,204,19,36,372,3468,386,996,1866,54,159,7,4149
2001,699,53,200,23,29,394,3162,441,912,1660,76,70,3,3861

